BeginTime,SrcIP,DstIP,SrcPort,DstPort
2016-09-13T08:58:53.355Z,192.168.30.129,192.168.30.2,33622,53
2016-09-13T08:58:53.369Z,192.168.30.2,192.168.30.129,53,33622
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,139
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,8080
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,3389
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,1025
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,445
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,25
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,995
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,1723
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,554
2016-09-13T08:58:53.375Z,192.168.30.129,192.168.30.1,35440,587
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,587
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,554
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,1723
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,995
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,25
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,445
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,1025
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,3389
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,8080
2016-09-13T08:58:54.478Z,192.168.30.129,192.168.30.1,35441,139
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,143
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,110
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,111
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,1720
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,256
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,3306
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,113
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,8888
2016-09-13T08:58:54.577Z,192.168.30.129,192.168.30.1,35440,21
2016-09-13T08:58:54.580Z,192.168.30.129,192.168.30.1,35440,135
2016-09-13T08:58:54.677Z,192.168.30.129,192.168.30.1,35441,111
2016-09-13T08:58:54.677Z,192.168.30.129,192.168.30.1,35441,110
2016-09-13T08:58:54.677Z,192.168.30.129,192.168.30.1,35441,143
2016-09-13T08:58:54.680Z,192.168.30.129,192.168.30.1,35441,21
2016-09-13T08:58:54.680Z,192.168.30.129,192.168.30.1,35441,8888
2016-09-13T08:58:54.680Z,192.168.30.129,192.168.30.1,35441,113
2016-09-13T08:58:54.680Z,192.168.30.129,192.168.30.1,35441,3306
2016-09-13T08:58:54.680Z,192.168.30.129,192.168.30.1,35441,256
2016-09-13T08:58:54.680Z,192.168.30.129,192.168.30.1,35441,1720
2016-09-13T08:58:54.683Z,192.168.30.129,192.168.30.1,35441,135
2016-09-13T08:58:54.779Z,192.168.30.129,192.168.30.1,35440,993
2016-09-13T08:58:54.779Z,192.168.30.129,192.168.30.1,35440,443
2016-09-13T08:58:54.779Z,192.168.30.129,192.168.30.1,35440,5900
2016-09-13T08:58:54.782Z,192.168.30.129,192.168.30.1,35440,23
2016-09-13T08:58:54.782Z,192.168.30.129,192.168.30.1,35440,199
2016-09-13T08:58:54.782Z,192.168.30.129,192.168.30.1,35440,80
2016-09-13T08:58:54.782Z,192.168.30.129,192.168.30.1,35440,22
2016-09-13T08:58:54.782Z,192.168.30.129,192.168.30.1,35440,53
2016-09-13T08:58:54.783Z,192.168.30.129,192.168.30.1,35440,8222
2016-09-13T08:58:54.786Z,192.168.30.129,192.168.30.1,35440,990
2016-09-13T08:58:54.879Z,192.168.30.129,192.168.30.1,35441,5900
2016-09-13T08:58:54.879Z,192.168.30.129,192.168.30.1,35441,443
2016-09-13T08:58:54.879Z,192.168.30.129,192.168.30.1,35441,993
2016-09-13T08:58:54.883Z,192.168.30.129,192.168.30.1,35441,53
2016-09-13T08:58:54.883Z,192.168.30.129,192.168.30.1,35441,22
2016-09-13T08:58:54.883Z,192.168.30.129,192.168.30.1,35441,80
2016-09-13T08:58:54.883Z,192.168.30.129,192.168.30.1,35441,199
2016-09-13T08:58:54.883Z,192.168.30.129,192.168.30.1,35441,23
2016-09-13T08:58:54.887Z,192.168.30.129,192.168.30.1,35441,990
2016-09-13T08:58:54.887Z,192.168.30.129,192.168.30.1,35441,8222
2016-09-13T08:58:54.981Z,192.168.30.129,192.168.30.1,35440,55055
2016-09-13T08:58:54.981Z,192.168.30.129,192.168.30.1,35440,1119
2016-09-13T08:58:54.981Z,192.168.30.129,192.168.30.1,35440,2161
2016-09-13T08:58:54.984Z,192.168.30.129,192.168.30.1,35440,9575
2016-09-13T08:58:54.984Z,192.168.30.129,192.168.30.1,35440,1721
2016-09-13T08:58:54.987Z,192.168.30.129,192.168.30.1,35440,416
2016-09-13T08:58:54.987Z,192.168.30.129,192.168.30.1,35440,6565
2016-09-13T08:58:54.987Z,192.168.30.129,192.168.30.1,35440,27355
2016-09-13T08:58:54.990Z,192.168.30.129,192.168.30.1,35440,1087
2016-09-13T08:58:54.990Z,192.168.30.129,192.168.30.1,35440,1032
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,55055
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,2161
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,1119
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,1721
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,9575
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,27355
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,6565
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,416
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,1032
2016-09-13T08:58:55.093Z,192.168.30.129,192.168.30.1,35441,1087
2016-09-13T08:58:55.182Z,192.168.30.129,192.168.30.1,35440,5999
2016-09-13T08:58:55.184Z,192.168.30.129,192.168.30.1,35440,11111
2016-09-13T08:58:55.184Z,192.168.30.129,192.168.30.1,35440,465
2016-09-13T08:58:55.188Z,192.168.30.129,192.168.30.1,35440,222
2016-09-13T08:58:55.190Z,192.168.30.129,192.168.30.1,35440,1114
2016-09-13T08:58:55.191Z,192.168.30.129,192.168.30.1,35440,8800
2016-09-13T08:58:55.191Z,192.168.30.129,192.168.30.1,35440,1098
2016-09-13T08:58:55.191Z,192.168.30.129,192.168.30.1,35440,32772
2016-09-13T08:58:55.194Z,192.168.30.129,192.168.30.1,35440,2007
2016-09-13T08:58:55.194Z,192.168.30.129,192.168.30.1,35440,4446
2016-09-13T08:58:55.282Z,192.168.30.129,192.168.30.1,35441,5999
2016-09-13T08:58:55.285Z,192.168.30.129,192.168.30.1,35441,465
2016-09-13T08:58:55.285Z,192.168.30.129,192.168.30.1,35441,11111
2016-09-13T08:58:55.288Z,192.168.30.129,192.168.30.1,35441,222
2016-09-13T08:58:55.290Z,192.168.30.129,192.168.30.1,35441,1114
2016-09-13T08:58:55.293Z,192.168.30.129,192.168.30.1,35441,32772
2016-09-13T08:58:55.293Z,192.168.30.129,192.168.30.1,35441,1098
2016-09-13T08:58:55.293Z,192.168.30.129,192.168.30.1,35441,8800
2016-09-13T08:58:55.295Z,192.168.30.129,192.168.30.1,35441,4446
2016-09-13T08:58:55.295Z,192.168.30.129,192.168.30.1,35441,2007
2016-09-13T08:58:55.383Z,192.168.30.129,192.168.30.1,35440,1947
2016-09-13T08:58:55.385Z,192.168.30.129,192.168.30.1,35440,8088
2016-09-13T08:58:55.385Z,192.168.30.129,192.168.30.1,35440,1218
2016-09-13T08:58:55.388Z,192.168.30.129,192.168.30.1,35440,9618
2016-09-13T08:58:55.391Z,192.168.30.129,192.168.30.1,35440,543
2016-09-13T08:58:55.393Z,192.168.30.129,192.168.30.1,35440,5510
2016-09-13T08:58:55.393Z,192.168.30.129,192.168.30.1,35440,2601
2016-09-13T08:58:55.393Z,192.168.30.129,192.168.30.1,35440,616
2016-09-13T08:58:55.396Z,192.168.30.129,192.168.30.1,35440,8007
